conversation_id,tag,user_final_sentiment
0,store closing hours,Neutral
1,repeat purchases,Positive
2,supplement advice,Positive
3,staff interaction,Positive
4,hair products,Positive
5,convenient location,Positive
6,product effectiveness,Positive
7,store organization,Neutral
8,store closing hours,Positive
9,store closing hours,Positive
10,friendly staff,Positive
11,price comparison,Positive
12,subscription service,Positive
13,app assistance,Positive
14,efficient service,Positive
15,promotion and offers,Positive
16,accurate product information,Positive
17,product condition,Positive
18,health products,Positive
19,menopause advice,Positive
20,allergy-sensitive products,Positive
21,product ingredients,Positive
22,impulse buying,Positive
23,online ordering,Positive
24,health products,Positive
25,organic products,Positive
26,packaging issues,Positive
27,expert guidance,Positive
28,product recommendations,Positive
29,lack of respect,Negative
30,hair products,Positive
31,expiration date issues,Positive
32,order tracking,Positive
33,value for money,Positive
34,hair products,Positive
35,gratitude,Positive
36,promotion and offers,Positive
37,subscription service,Positive
38,follow-up issues,Negative
39,product condition,Positive
40,order not received,Positive
41,incomplete orders,Positive
42,store closing hours,Neutral
43,transparency issues,Positive
44,product recommendations,Positive
45,order cancellation,Positive
46,replacement requests,Positive
47,long wait times,Positive
48,gratitude,Positive
49,store display,Positive
50,click and collect,Positive
51,value for money,Positive
52,convenient location,Positive
53,app assistance,Positive
54,unresponsive support,Positive
55,positive recommendations,Positive
56,voucher issues,Positive
57,hair products,Positive
58,online ordering,Positive
59,parcel issues,Positive
60,promotion and offers,Positive
61,staff interaction,Positive
62,incorrect orders,Positive
63,pricing issues,Positive
64,payment issues,Positive
65,health products,Positive
66,customer value,Positive
67,health products,Positive
68,misleading information,Negative
69,nutritional information,Positive
70,intimidating behavior,Negative
71,pricing issues,Positive
72,promotion and offers,Positive
73,order cancellation,Positive
74,order not received,Negative
75,app/website usability issues,Positive
76,incomplete orders,Positive
77,app assistance,Positive
78,follow-up issues,Positive
79,organic products,Positive
80,app assistance,Positive
81,online ordering,Positive
82,nutritional information,Positive
83,order collection issues,Positive
84,transparency issues,Positive
85,accurate product information,Positive
86,product recommendations,Positive
87,expiration date issues,Positive
88,replacement requests,Positive
89,in-store issues,Positive
90,product selection,Positive
91,staff knowledge,Positive
92,rewards program,Positive
93,payment issues,Positive
94,supplement advice,Positive
95,international shipping,Positive
96,accurate product information,Positive
97,friendly staff,Positive
98,expert guidance,Positive
99,product effectiveness,Neutral
100,promotions and offers,Positive
101,friendly staff,Positive
102,rewards program,Positive
103,discount appreciation,Positive
104,staff knowledge,Neutral
105,voucher issues,Positive
106,discount appreciation,Positive
107,inconsistent policies,Positive
108,promotions and offers,Positive
109,miscommunication,Positive
110,product selection,Positive
111,allergy-sensitive products,Positive
112,unresponsive support,Positive
113,product recommendations,Positive
114,order status updates,Positive
115,refund process,Positive
116,inconsistent experience,Negative
117,informative service,Positive
118,order not received,Negative
119,inconsistent experience,Positive
120,shopping experience,Positive
121,product selection,Positive
122,order tracking,Neutral
123,communication issues,Negative
124,complaint resolution,Neutral
125,trustworthy products,Positive
126,authentic products,Positive
127,order not received,Positive
128,complaint resolution,Negative
129,miscommunication,Positive
130,click and collect,Positive
131,discrimination,Positive
132,accurate product information,Positive
133,friendly staff,Positive
134,customer value,Positive
135,health concerns,Positive
136,promotions and offers,Positive
137,efficient service,Positive
138,payment issues,Neutral
139,product selection,Positive
140,discount appreciation,Positive
141,delivery issues,Positive
142,product ingredients,Positive
143,professionalism,Negative
144,store stock availability,Neutral
145,accurate product information,Positive
146,long wait times,Positive
147,long wait times,Positive
148,online ordering,Positive
149,parcel issues,Positive
150,replacement requests,Positive
151,menopause advice,Positive
152,discontinued products,Positive
153,rewards program,Positive
154,international shipping,Neutral
155,rewards program,Positive
156,incorrect orders,Positive
157,product ingredients,Positive
158,staff knowledge,Positive
159,inconsistent experience,Neutral
160,order tracking,Positive
161,login issues,Positive
162,faulty/damaged products,Positive
163,click and collect,Positive
164,lack of respect,Negative
165,order status updates,Positive
166,product selection,Positive
167,miscommunication,Positive
168,trustworthy products,Positive
169,incomplete orders,Positive
170,store stock availability,Neutral
171,store organization,Positive
172,online ordering,Neutral
173,customer service feedback,Neutral
174,menopause advice,Positive
175,supplement advice,Positive
176,order cancellation,Positive
177,impulse buying,Positive
